pid,type,bc,psr,trg,conv
456,PASS,,RC-2800,RI-0200,1
1276,RUSH,KF-0200,,,0
1408,RUSH,JS-6500,,,1
1621,PASS,,JP-3200,DB-3100,0
1766,PASS,,RL-0300,FJ-0500,0
2412,RUSH,OG-0300,,,0
2422,PASS,,KW-0500,AH-0200,0
2528,PASS,,TB-0200,BC-1600,1
2779,PASS,,BF-0100,TD-0800,1
3052,RUSH,MA-1000,,,1
3738,PASS,,DM-2200,CJ-1400,0
3861,PASS,,,,0
3904,PASS,,JB-3800,WJ-0200,0
4071,PASS,,RM-4300,TO-0200,1
4705,RUSH,TJ-2700,,,0
4881,RUSH,CM-0600,,,0
6138,RUSH,LJ-1000,,,0
7955,PASS,,GF-0400,RS-2100,0
8050,PASS,,EG-0600,TR-0300,0
9004,PASS,,VT-0200,LC-0800,1
9169,RUSH,RD-0700,,,0
9461,RUSH,EJ-0200,,,1
9569,PASS,,TA-0300,JH-1800,1
10084,RUSH,MA-1000,,,0
10136,PASS,,BG-1900,EM-0500,1
11427,PASS,,DM-2200,TS-1900,1
11717,RUSH,SP-1400,,,0
12586,PASS,,BF-0100,DD-2600,1
13558,RUSH,RG-0200,,,1
15308,RUSH,TB-0400,,,0
15718,PASS,,KL-1700,LF-0300,1
15741,RUSH,MF-0300,,,0
15763,RUSH,MF-0300,,,1
15784,RUSH,MF-0300,,,1
15832,RUSH,JA-1600,,,1
15842,PASS,,KW-0500,RW-2900,1
16021,RUSH,BB-1100,,,0
16381,RUSH,JS-6500,,,1
16610,PASS,,CC-1400,RK-0200,0
17411,PASS,,PM-0200,TW-2100,0
17718,PASS,,EG-0600,DA-0600,0
17759,PASS,,TG-1600,TH-2300,0
17901,PASS,,DC-4400,MW-2900,1
18559,PASS,,VT-0200,RA-1100,0
19675,RUSH,JS-6500,,,1
20402,PASS,,JK-1500,CF-0300,0
20721,PASS,,JH-1100,TF-0700,0
20941,RUSH,KH-1500,,,0
20978,RUSH,JP-3200,,,0
21312,PASS,,PM-0200,MP-1500,1
21354,RUSH,EJ-0200,,,0
21806,PASS,,SC-0200,JM-6400,1
22172,RUSH,TJ-0400,,,1
22815,RUSH,JH-1100,,,0
23141,RUSH,SB-0700,,,1
23800,RUSH,KF-0200,,,1
25285,PASS,,MH-1600,AF-1300,0
25633,PASS,,VT-0200,MC-2100,1
27305,PASS,,AB-2900,WJ-0200,0
27631,PASS,,DB-4500,DB-3100,0
28076,PASS,,KS-2300,MB-4400,0
28094,RUSH,RH-3400,,,1
28235,PASS,,JG-1000,JT-2800,0
28430,RUSH,CW-0700,,,0
31185,RUSH,AS-2500,,,0
32530,PASS,,JG-0600,JS-6900,1
33744,PASS,,,,0
33830,PASS,,JG-1000,AC-2300,0
34433,PASS,,EG-0600,TG-1300,0
34878,RUSH,TA-0500,,,1
34900,RUSH,WR-0500,,,0
35028,PASS,,KW-0500,AH-0200,0
35086,PASS,,DC-4400,RM-5000,1
35549,RUSH,CM-2600,,,0
35577,RUSH,SB-1900,,,1
35897,PASS,,JK-1500,SD-0500,0
35916,PASS,,,,0
36388,RUSH,JF-0700,,,0
36405,PASS,,SB-0700,MM-5500,0
38338,PASS,,MB-4500,KB-1700,1
38478,PASS,,,,0
38653,PASS,,EG-0600,SM-3500,0
38747,RUSH,JL-1400,,,1
39150,RUSH,SK-0400,,,1
39620,RUSH,MF-0300,,,0
40534,PASS,,PM-0200,KD-1000,1
40775,RUSH,MF-0300,,,0
40800,PASS,,KW-0500,MF-0300,1
41277,PASS,,AB-2900,JR-0900,0
43422,RUSH,RG-0200,,,1
45379,PASS,,DF-1300,CC-4100,0
45605,PASS,,RJ-1200,PP-1000,0
46064,RUSH,JM-3500,,,1
46248,PASS,,RP-1900,EC-0400,0
46290,RUSH,JG-0600,,,0
46339,PASS,,KW-0500,RP-1900,1
46617,PASS,,BG-1900,DC-0800,1
47233,PASS,,BF-0100,AF-1300,1
47928,PASS,,PM-0200,MH-1200,0
48921,PASS,,CS-4100,TH-0400,0
48933,PASS,,CS-4100,MW-1600,0
49380,PASS,,EG-0600,BS-4100,0
49418,PASS,,JR-2300,DP-1500,0
49471,PASS,,AV-0200,SJ-0100,0
50101,RUSH,DM-0700,,,0
50160,RUSH,DC-4400,,,1
50894,RUSH,EJ-1100,,,0
51598,PASS,,CC-1400,SJ-0400,1
51751,PASS,,,,0
51790,PASS,,,,0
52090,PASS,,JK-1500,RD-2100,1
52301,PASS,,RC-2800,QI-0100,0
52455,PASS,,TG-1600,TG-1300,1
